offer_id,source,url,title,price_amount,price_currency,price_per_m2,area_m2,rooms,city,district,street,lat,lon,posted_at,updated_at
mzn2045885180,morizon,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-oliwa-slaska-132m2-mzn2045885180,Pakiet inwestycyjny 5 mieszkań - Oliwa min. 6% ROI,2500000.0,PLN,18919.0,132.14,4.0,Gdansk,Oliwa,Slaska,54.4061637,18.5744742,,
mzn2045873997,morizon,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-wrzeszcz-stefana-batorego-42m2-mzn2045873997,Dwa pokoje we Wrzeszczu przy lesie,749000.0,PLN,17582.0,42.6,2.0,Gdansk,Wrzeszcz,Stefana,54.3394909,18.6763679,,
mzn2044432016,morizon,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-przymorze-obroncow-wybrzeza-46m2-mzn2044432016,Mieszkanie w 2 pokojowe po generalnym remoncie,755000.0,PLN,16413.0,46.0,2.0,Gdansk,Przymorze,Obroncow,54.4067012,18.6669686,,
mzn2045354479,morizon,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-srodmiescie-chmielna-46m2-mzn2045354479,Wyspa Spichrzów apartament,1485015.0,PLN,31670.0,46.89,2.0,Gdansk,Srodmiescie,Chmielna,54.35035155,18.6558259,,
mzn2044960652,morizon,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-srodmiescie-chmielna-46m2-mzn2044960652,Wyspa Spichrzów apartament,1485015.0,PLN,31670.0,46.89,2.0,Gdansk,Srodmiescie,Chmielna,54.35035155,18.6558259,,
mzn2042327425,morizon,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-srodmiescie-chmielna-66m2-mzn2042327425,"Świetna inwestycja na Wyspie Spichrzów, Granaria",2151926.0,PLN,32200.0,66.83,3.0,Gdansk,Srodmiescie,Chmielna,54.35035155,18.6558259,,
mzn2044591414,morizon,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-srodmiescie-ks-jerzego-popieluszki-54m2-mzn2044591414,3 pokoje na Dokach,1254750.0,PLN,23048.0,54.44,3.0,Gdansk,Srodmiescie,Ks,54.35035155,18.6558259,,
mzn2040246585,morizon,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-ujescisko-lostowice-stanislawa-dabka-57m2-mzn2040246585,Nowa kameralna inwestycja,690000.0,PLN,12048.0,57.27,3.0,Gdansk,Ujescisko,Lostowice,54.31911,18.5918006,,
mzn2045774679,morizon,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-zabianka-wejhera-jelitkowo-tysiaclecia-jelitkowska-310m2-mzn2045774679,Apartament o funkcji domu,13000000.0,PLN,41935.0,310.0,2.0,Gdansk,Zabianka,Wejhera,54.420412,18.5831153,,
mzn2046486768,morizon,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-ujescisko-lostowice-cedrowa-39m2-mzn2046486768,2pokoje 40m2 świetna lokalizacja cedrowa,565000.0,PLN,14196.0,39.8,2.0,Gdansk,Ujescisko,Lostowice,54.31911,18.5918006,,
